indoors,created_at,session_id,floor,rssi_strength,gps_latitude,gps_longitude,gps_vertical_accuracy,gps_horizontal_accuracy,gps_course,gps_speed,baro_relative_altitude,baro_pressure,env_context,env_mean_bldg_floors,env_activity,city_name,country_name,magnet_x_mt,magnet_y_mt,magnet_z_mt,magnet_total
0,2017-03-08T17:12:13.468Z,2017-03-08T17:12:02.474Z,0,-98,40.808784510047,-73.96191584884558,32,30,314.296875,1.399999976158142,0.374176025390625,100.4367523193359,,0-2,walking,new york,united states,-23.58314514160156,305.7611083984375,-683.5794677734375,749.2175310984301
0,2017-03-08T17:12:14.468Z,2017-03-08T17:12:02.474Z,0,-98,40.80879016783164,-73.96192682913873,32,30,272.4609375,1.080000042915344,0.8855819702148438,100.4306488037109,,0-2,walking,new york,united states,-25.66836547851562,315.8197631835938,-684.2191772460938,754.0271018438272
0,2017-03-08T17:12:15.468Z,2017-03-08T17:12:02.474Z,0,-98,40.80882436599658,-73.96191786050234,32,25,279.140625,0.7699999809265137,0.8855819702148438,100.4306488037109,,0-2,walking,new york,united states,-23.35308837890625,308.9098510742188,-682.9107055664062,749.8917885966854
0,2017-03-08T17:12:16.467Z,2017-03-08T17:12:02.474Z,0,-98,40.80884536266402,-73.96191744140718,32,25,309.375,1.039999961853027,0.8187408447265625,100.4314422607422,,0-2,walking,new york,united states,-25.38421630859375,305.0182800292969,-683.5151977539062,748.9149051462347
0,2017-03-08T17:12:17.468Z,2017-03-08T17:12:02.474Z,0,-98,40.80886086918489,-73.96192003979716,32,25,312.890625,0.8899999856948853,0.6688613891601562,100.433235168457,,0-2,walking,new york,united states,-28.90853881835938,305.3321838378906,-683.0906372070312,748.7831894104835
0,2017-03-08T17:12:18.468Z,2017-03-08T17:12:02.474Z,0,-98,40.80887486696319,-73.96191936924491,24,25,349.1015625,0.8899999856948853,0.6192398071289062,100.4338302612305,,0-2,walking,new york,united states,-26.49569702148438,313.1964721679688,-680.993408203125,750.0307154745221
0,2017-03-08T17:12:19.467Z,2017-03-08T17:12:02.474Z,0,-98,40.80888773318456,-73.96191610030267,24,25,329.765625,0.5600000023841858,0.5012664794921875,100.4352340698242,,0-2,walking,new york,united states,-33.25636291503906,307.976318359375,-686.6526489257812,753.2909521700922
0,2017-03-08T17:12:20.468Z,2017-03-08T17:12:02.474Z,0,-98,40.80890269488172,-73.96191400482688,24,25,334.6875,0.5600000023841858,0.3088531494140625,100.4375305175781,,0-2,walking,new york,united states,-28.46435546875,302.256591796875,-685.4798583984375,749.7012092072788
0,2017-03-08T17:12:21.468Z,2017-03-08T17:12:02.474Z,0,-98,40.80892314672545,-73.96190813749466,24,25,337.8515625,1.059999942779541,0.3088531494140625,100.4375305175781,,0-2,walking,new york,united states,-28.90396118164062,309.0831909179688,-685.2000122070312,752.2412609053954
0,2017-03-08T17:12:22.468Z,2017-03-08T17:12:02.474Z,0,-98,40.80894280228839,-73.96190185106728,24,25,337.1484375,1.059999942779541,0.1407546997070312,100.4395294189453,,0-2,walking,new york,united states,-30.31614685058594,316.8877563476562,-682.9794311523438,753.5236043151515
0,2017-03-08T17:12:23.468Z,2017-03-08T17:12:02.474Z,0,-98,40.80896505624131,-73.96189489408765,24,25,331.875,1.299999952316284,0.1407546997070312,100.4395294189453,,0-2,walking,new york,united states,-35.1998291015625,311.5830078125,-684.42529296875,752.8352943251418
0,2017-03-08T17:12:24.468Z,2017-03-08T17:12:02.474Z,0,-98,40.80898521471844,-73.96189187660251,24,25,330.1171875,1.279999971389771,0.1372146606445312,100.4395751953125,,0-2,walking,new york,united states,-37.89012145996094,317.5930480957031,-683.0341796875,754.2126332304082
0,2017-03-08T17:12:25.468Z,2017-03-08T17:12:02.474Z,0,-98,40.80900076314882,-73.96188382997546,24,25,73.828125,1.279999971389771,0.1372146606445312,100.4395751953125,,0-2,walking,new york,united states,-40.29348754882812,315.7282409667969,-684.1713256835938,754.5848462369764
0,2017-03-08T17:12:26.468Z,2017-03-08T17:12:02.474Z,0,-98,40.80901375509874,-73.96186538978849,24,25,36.9140625,1.299999952316284,-0.083038330078125,100.4421997070312,,0-2,walking,new york,united states,-43.59880065917969,312.6672058105469,-685.61181640625,754.8014307115291
0,2017-03-08T17:12:27.468Z,2017-03-08T17:12:02.474Z,0,-98,40.8090199996166,-73.96183454438481,24,25,96.328125,2.190000057220459,-0.2232818603515625,100.4438781738281,,0-2,walking,new york,united states,-45.99763488769531,313.4267578125,-685.5554809570312,755.2075425989492
0,2017-03-08T17:12:28.468Z,2017-03-08T17:12:02.474Z,0,-98,40.80901765268371,-73.96180051385794,24,25,105.8203125,2.029999971389771,-0.2455596923828125,100.4441375732422,,0-2,walking,new york,united states,-43.97465515136719,312.7446594238281,-687.5646362304688,756.6294478068804
0,2017-03-08T17:12:30.080Z,2017-03-08T17:12:02.474Z,0,-98,40.80901488665567,-73.96177654161487,24,25,113.5546875,2.029999971389771,-0.556427001953125,100.4478530883789,,0-2,walking,new york,united states,-50.13209533691406,309.7722778320312,-693.5253295898438,761.2157866720947
0,2017-03-08T17:12:30.468Z,2017-03-08T17:12:02.474Z,0,-98,40.80901283308939,-73.96176162182722,24,25,113.90625,1.330000042915344,-0.556427001953125,100.4478530883789,,0-2,walking,new york,united states,-50.13209533691406,309.7722778320312,-693.5253295898438,761.2157866720947
0,2017-03-08T17:12:31.468Z,2017-03-08T17:12:31.297Z,0,-98,40.80901241399423,-73.9617456962112,24,25,113.90625,1.110000014305115,-0.7351455688476562,100.4499816894531,,0-2,walking,new york,united states,-35.14959716796875,298.91357421875,-695.9432983398438,758.2360407798085
0,2017-03-08T17:12:32.299Z,2017-03-08T17:12:31.297Z,0,-98,40.80901329409406,-73.96172373562489,24,25,108.984375,1.279999971389771,-0.801971435546875,100.4507827758789,,0-2,walking,new york,united states,-33.65487670898438,294.70654296875,-693.8973388671875,754.6377369850073
0,2017-03-08T17:12:32.468Z,2017-03-08T17:12:31.297Z,0,-98,40.80901329409406,-73.96172373562489,24,25,108.984375,1.279999971389771,-0.801971435546875,100.4507827758789,,0-2,walking,new york,united states,-33.65487670898438,294.70654296875,-693.8973388671875,754.6377369850073
0,2017-03-08T17:12:33.299Z,2017-03-08T17:12:32.668Z,0,-98,40.8090210473545,-73.96170655272338,24,25,131.1328125,1.110000014305115,-0.801971435546875,100.4507827758789,,0-2,walking,new york,united states,-30.49620056152344,299.7177429199219,-691.562744140625,754.3339928393872
0,2017-03-08T17:12:33.468Z,2017-03-08T17:12:32.668Z,0,-98,40.8090210473545,-73.96170655272338,24,25,131.1328125,1.110000014305115,-0.801971435546875,100.4507827758789,,0-2,walking,new york,united states,-30.49620056152344,299.7177429199219,-691.562744140625,754.3339928393872
0,2017-03-08T17:12:33.671Z,2017-03-08T17:12:32.668Z,0,-98,40.8090210473545,-73.96170655272338,24,25,131.1328125,1.110000014305115,-0.801971435546875,100.4507827758789,,0-2,walking,new york,united states,-28.47041320800781,299.1080017089844,-688.1719970703125,750.9040276002778
0,2017-03-08T17:12:34.298Z,2017-03-08T17:12:32.668Z,0,-98,40.80902968071477,-73.96168501123223,24,25,105.1171875,1.279999971389771,-0.801971435546875,100.4507827758789,,0-2,walking,new york,united states,-28.47041320800781,299.1080017089844,-688.1719970703125,750.9040276002778
0,2017-03-08T17:12:34.468Z,2017-03-08T17:12:32.668Z,0,-98,40.80902968071477,-73.96168501123223,24,25,105.1171875,1.279999971389771,-0.801971435546875,100.4507827758789,,0-2,walking,new york,united states,-28.47041320800781,299.1080017089844,-688.1719970703125,750.9040276002778
