indoors,created_at,session_id,rssi_strength,gps_latitude,gps_longitude,gps_vertical_accuracy,gps_horizontal_accuracy,gps_course,gps_speed,baro_relative_altitude,baro_pressure,env_context,env_mean_bldg_floors,env_activity,city_name,country_name,magnet_x_mt,magnet_y_mt,magnet_z_mt,magnet_total
0,2016-11-30T09:50:48.027Z,2016-11-30T09:50:33.025Z,-92,40.80670676197931,-73.96182507283423,12,25,144.4921875,0.6899999976158142,0.2573204040527344,100.6300048828125,low memorial library,0-2,walking,new york,united states,195.7563323974609,387.6170654296875,-850.1737060546875,954.6532677117855
1,2016-11-30T09:50:49.027Z,2016-11-30T09:50:33.025Z,-92,40.80670676197931,-73.96182507283423,12,25,143.4375,0,0.3644943237304688,100.6287231445312,low memorial library,0-2,walking,new york,united states,211.811279296875,392.7305603027344,-855.6240844726562,964.9838780843697
1,2016-11-30T09:50:50.027Z,2016-11-30T09:50:33.025Z,-92,40.80670676197931,-73.96182507283423,12,25,166.9921875,0,0.4696502685546875,100.6274719238281,low memorial library,0-2,walking,new york,united states,198.6002807617188,384.3067932128906,-852.3955078125,955.8827776286895
1,2016-11-30T09:50:51.026Z,2016-11-30T09:50:33.025Z,-92,40.80670676197931,-73.96182507283423,12,25,121.2890625,0,0.4696502685546875,100.6274719238281,low memorial library,0-2,walking,new york,united states,191.9909362792969,375.8548583984375,-845.6705932617188,945.1381626528145
1,2016-11-30T09:50:52.027Z,2016-11-30T09:50:33.025Z,-92,40.80669628460035,-73.96181987605426,12,25,162.421875,0.2000000029802322,0.5571098327636719,100.6264190673828,low memorial library,0-2,walking,new york,united states,209.5563049316406,389.2893981933594,-855.2562866210938,962.7686099407547
1,2016-11-30T09:50:53.953Z,2016-11-30T09:50:33.025Z,-92,40.80668362792656,-73.96180872812305,12,30,142.734375,0.6700000166893005,0.6213188171386719,100.6256561279297,low memorial library,0-2,walking,new york,united states,204.4459991455078,380.982666015625,-850.9212646484375,954.4699874809446
1,2016-11-30T09:50:54.026Z,2016-11-30T09:50:33.025Z,-92,40.80668362792656,-73.96180872812305,12,30,142.734375,0.6700000166893005,0.6213188171386719,100.6256561279297,low memorial library,0-2,walking,new york,united states,204.4459991455078,380.982666015625,-850.9212646484375,954.4699874809446
1,2016-11-30T09:50:55.026Z,2016-11-30T09:50:33.025Z,-106,40.80667843114659,-73.96180512390468,12,30,145.1953125,0.6700000166893005,0.6319351196289062,100.6255340576172,low memorial library,0-2,walking,new york,united states,199.6500244140625,383.02587890625,-849.0099487304688,952.5685535454937
1,2016-11-30T09:50:56.026Z,2016-11-30T09:50:33.025Z,-106,40.80667373728082,-73.96180286079083,12,30,153.28125,0.4900000095367432,0.6663131713867188,100.625114440918,low memorial library,0-2,walking,new york,united states,198.7549285888672,385.7286071777344,-847.2980346679688,951.9474983347784
1,2016-11-30T09:50:57.027Z,2016-11-30T09:50:33.025Z,-106,40.8066686662294,-73.96180327988598,12,30,176.8359375,0.5299999713897705,0.7219276428222656,100.6244506835938,low memorial library,0-2,walking,new york,united states,196.3691864013672,394.4369812011719,-844.9364013671875,952.9212516584786
